70018.tsv,3
10327.tsv,16
1073.tsv,32
42132.tsv,13
141988.tsv,3
111158.tsv,5
131188.tsv,3
57790.tsv,9
171601.tsv,5
133439.tsv,6
18509.tsv,7
43921.tsv,9
123.tsv,88
165698.tsv,4
133305.tsv,4
237107.tsv,4
4559.tsv,10
458.tsv,11
86799.tsv,5
80158.tsv,8
11832.tsv,14
219632.tsv,4
52000.tsv,4
15547.tsv,8
46704.tsv,7
174757.tsv,4
2954.tsv,18
44389.tsv,8
2332.tsv,10
61499.tsv,9
31652.tsv,13
16957.tsv,7
23746.tsv,9
134002.tsv,4
21812.tsv,4
32301.tsv,13
112988.tsv,3
129242.tsv,4
89339.tsv,8
58711.tsv,6
195.tsv,15
26114.tsv,8
14003.tsv,12
13881.tsv,18
19175.tsv,15
5744.tsv,10
330.tsv,65
48196.tsv,6
11204.tsv,5
8623.tsv,12
11599.tsv,16
147126.tsv,5
93349.tsv,4
189699.tsv,4
10504.tsv,5
1920.tsv,33
131055.tsv,6
3038.tsv,32
266380.tsv,3
1820.tsv,15
7653.tsv,22
90915.tsv,6
120510.tsv,4
1862.tsv,37
76343.tsv,7
32293.tsv,12
18008.tsv,9
34731.tsv,7
13450.tsv,17
2516.tsv,19
13925.tsv,19
17101.tsv,12
141685.tsv,6
12833.tsv,3
58443.tsv,6
247633.tsv,4
20421.tsv,6
17533.tsv,12
3948.tsv,14
174100.tsv,3
98124.tsv,4
165019.tsv,3
58594.tsv,11
143927.tsv,6
1588.tsv,9
4557.tsv,25
48655.tsv,6
2450.tsv,18
62653.tsv,11
1163.tsv,20
23219.tsv,8
2311.tsv,8
8008.tsv,23
83049.tsv,11
74229.tsv,9
202748.tsv,4
875.tsv,7
25738.tsv,14
38424.tsv,10
8641.tsv,14
73529.tsv,5
10563.tsv,17
102941.tsv,7
11903.tsv,10
181989.tsv,3
243710.tsv,3
812.tsv,17
9149.tsv,18
4.tsv,162
3577.tsv,23
8340.tsv,20
115596.tsv,7
13451.tsv,9
5558.tsv,21
9931.tsv,4
92535.tsv,6
100.tsv,48
27113.tsv,14
337328.tsv,3
1537.tsv,38
14993.tsv,10
173047.tsv,3
35683.tsv,10
6861.tsv,18
7863.tsv,16
6951.tsv,17
83276.tsv,7
29339.tsv,12
21211.tsv,11
76545.tsv,9
64132.tsv,5
45538.tsv,5
19575.tsv,10
186257.tsv,4
7101.tsv,22
26223.tsv,7
79500.tsv,5
917.tsv,43
64715.tsv,6
58468.tsv,4
5579.tsv,13
7856.tsv,12
1731.tsv,24
21687.tsv,15
748.tsv,15
81362.tsv,5
120927.tsv,7
48624.tsv,7
334.tsv,29
11538.tsv,10
66797.tsv,3
66515.tsv,5
6499.tsv,19
22828.tsv,14
40331.tsv,10
17430.tsv,16
1937.tsv,20
128842.tsv,7
60464.tsv,7
347.tsv,39
35907.tsv,12
33020.tsv,9
72326.tsv,8
10746.tsv,11
15369.tsv,14
51702.tsv,7
20741.tsv,5
23282.tsv,13
91770.tsv,4
1385.tsv,21
4942.tsv,6
116561.tsv,4
16898.tsv,5
50290.tsv,6
227014.tsv,3
38503.tsv,5
51987.tsv,6
34281.tsv,3
135500.tsv,4
13803.tsv,18
3097.tsv,27
11268.tsv,15
119593.tsv,7
94222.tsv,8
105801.tsv,7
22077.tsv,9
4071.tsv,15
9132.tsv,17
22387.tsv,10
36819.tsv,7
183553.tsv,4
569.tsv,9
120399.tsv,3
63189.tsv,10
26632.tsv,12
47710.tsv,7
8252.tsv,12
104447.tsv,4
3740.tsv,6
36957.tsv,5
100555.tsv,6
12791.tsv,16
23306.tsv,7
14752.tsv,8
59294.tsv,7
103144.tsv,7
1428.tsv,36
142489.tsv,4
27723.tsv,14
71489.tsv,4
20080.tsv,16
45938.tsv,4
27739.tsv,11
7588.tsv,3
49959.tsv,10
188554.tsv,4
10361.tsv,21
48.tsv,44
215904.tsv,4
7354.tsv,16
2161.tsv,36
34597.tsv,13
212735.tsv,4
70999.tsv,7
186275.tsv,4
4096.tsv,5
22291.tsv,13
8028.tsv,19
25712.tsv,9
31624.tsv,14
93787.tsv,3
126996.tsv,5
109032.tsv,4
19476.tsv,4
159.tsv,75
19597.tsv,9
152990.tsv,6
229.tsv,45
30394.tsv,11
1510.tsv,7
99989.tsv,8
43581.tsv,8
203.tsv,30
342.tsv,60
97071.tsv,4
4710.tsv,17
16540.tsv,15
40467.tsv,11
168272.tsv,3
5624.tsv,15
102212.tsv,7
36663.tsv,10
25798.tsv,4
24771.tsv,15
27186.tsv,10
67875.tsv,4
905.tsv,27
13523.tsv,15
19169.tsv,14
102511.tsv,6
76819.tsv,5
4427.tsv,15
7330.tsv,14
4086.tsv,4
46414.tsv,4
230378.tsv,4
80691.tsv,6
2976.tsv,22
146255.tsv,5
75448.tsv,8
13.tsv,100
1886.tsv,33
129458.tsv,6
3980.tsv,17
65667.tsv,9
2653.tsv,11
81666.tsv,8
82811.tsv,4
1857.tsv,34
10790.tsv,15
117820.tsv,7
30244.tsv,14
26412.tsv,4
99095.tsv,7
34039.tsv,3
21999.tsv,5
8581.tsv,11
10262.tsv,9
77395.tsv,8
35745.tsv,8
48969.tsv,10
1823.tsv,36
40249.tsv,7
19822.tsv,16
100170.tsv,6
35661.tsv,9
268334.tsv,3
5524.tsv,4
135767.tsv,6
109127.tsv,4
12525.tsv,9
47446.tsv,10
20100.tsv,14
81674.tsv,3
34716.tsv,11
48668.tsv,9
2549.tsv,22
42196.tsv,5
54521.tsv,11
191444.tsv,5
4389.tsv,24
21311.tsv,7
12438.tsv,17
5017.tsv,25
100.tsv,27
4387.tsv,20
24350.tsv,6
150876.tsv,6
55036.tsv,12
9579.tsv,11
30250.tsv,8
15082.tsv,12
71363.tsv,7
124435.tsv,6
24135.tsv,9
2818.tsv,28
509.tsv,24
1222.tsv,33
42903.tsv,9
54479.tsv,10
1405.tsv,24
144476.tsv,5
41698.tsv,10
10782.tsv,21
412.tsv,37
41051.tsv,3
1441.tsv,10
17845.tsv,4
59823.tsv,7
62821.tsv,7
90960.tsv,6
177614.tsv,3
1178.tsv,20
79754.tsv,7
103641.tsv,7
96501.tsv,8
17949.tsv,10
69455.tsv,6
46943.tsv,9
1625.tsv,29
255066.tsv,3
68510.tsv,10
127913.tsv,6
21333.tsv,13
1437.tsv,22
111359.tsv,6
43077.tsv,8
649.tsv,31
114497.tsv,5
10257.tsv,5
103951.tsv,8
45803.tsv,3
20599.tsv,10
2437.tsv,33
68984.tsv,7
13644.tsv,15
13.tsv,13
51233.tsv,10
37.tsv,38
40437.tsv,10
1617.tsv,15
464.tsv,38
120134.tsv,6
147132.tsv,6
49680.tsv,3
26220.tsv,6
78458.tsv,4
68976.tsv,3
6113.tsv,19
31657.tsv,13
69402.tsv,6
109975.tsv,3
26540.tsv,8
26388.tsv,10
34204.tsv,5
283726.tsv,3
9215.tsv,22
94129.tsv,3
2502.tsv,12
2050.tsv,35
4999.tsv,9
166872.tsv,4
69334.tsv,5
196233.tsv,5
678.tsv,32
117377.tsv,5
140935.tsv,5
183565.tsv,3
15593.tsv,16
4085.tsv,16
184857.tsv,4
3422.tsv,18
5784.tsv,13
32163.tsv,4
26658.tsv,13
3179.tsv,20
94772.tsv,5
52691.tsv,10
18925.tsv,8
2502.tsv,11
10155.tsv,11
54370.tsv,5
67481.tsv,5
116155.tsv,3
161166.tsv,4
6.tsv,10
22519.tsv,4
50716.tsv,5
54488.tsv,4
19436.tsv,9
5932.tsv,23
53989.tsv,7
160380.tsv,3
288195.tsv,3
13885.tsv,19
36285.tsv,7
32374.tsv,13
95092.tsv,5
87130.tsv,7
93339.tsv,6
77348.tsv,8
5281.tsv,5
538.tsv,53
76302.tsv,6
127221.tsv,6
4848.tsv,9
662.tsv,16
32347.tsv,8
669.tsv,3
10081.tsv,13
26372.tsv,10
6225.tsv,4
1202.tsv,26
205586.tsv,4
54210.tsv,12
1489.tsv,22
53750.tsv,5
157411.tsv,4
50925.tsv,10
58805.tsv,5
124102.tsv,6
60678.tsv,9
127716.tsv,5
115620.tsv,7
37196.tsv,7
148411.tsv,4
5213.tsv,22
59136.tsv,7
22338.tsv,8
158206.tsv,6
53228.tsv,7
144242.tsv,6
6107.tsv,24
169050.tsv,4
106869.tsv,5
63633.tsv,11
10552.tsv,17
13631.tsv,5
129566.tsv,4
15318.tsv,7
83437.tsv,6
4795.tsv,10
70372.tsv,7
121820.tsv,7
69837.tsv,8
45074.tsv,9
85.tsv,22
23659.tsv,9
10646.tsv,17
25131.tsv,8
14984.tsv,8
9823.tsv,14
40307.tsv,7
80391.tsv,3
78836.tsv,6
195251.tsv,5
98773.tsv,6
13630.tsv,9
27630.tsv,13
49003.tsv,4
2864.tsv,30
83.tsv,82
4312.tsv,8
45639.tsv,5
24399.tsv,13
37248.tsv,11
146059.tsv,5
15017.tsv,17
40481.tsv,12
24193.tsv,10
93219.tsv,5
6830.tsv,6
16000.tsv,16
181898.tsv,4
20106.tsv,11
56281.tsv,9
82957.tsv,4
38152.tsv,6
11932.tsv,4
10664.tsv,3
70407.tsv,7
55697.tsv,8
147187.tsv,3
23907.tsv,3
9182.tsv,16
9268.tsv,6
11249.tsv,20
31124.tsv,13
16364.tsv,4
107623.tsv,4
122128.tsv,3
23343.tsv,9
30972.tsv,13
5112.tsv,9
176204.tsv,5
4423.tsv,24
40061.tsv,12
4250.tsv,20
36652.tsv,4
15038.tsv,3
29990.tsv,10
137508.tsv,4
29825.tsv,9
714.tsv,44
73374.tsv,6
28904.tsv,9
18028.tsv,3
74828.tsv,6
204738.tsv,4
47241.tsv,11
52833.tsv,9
7607.tsv,23
3503.tsv,19
583.tsv,49
13240.tsv,17
210831.tsv,3
10290.tsv,19
19205.tsv,16
289.tsv,34
44680.tsv,12
2834.tsv,30
47293.tsv,9
177331.tsv,4
56606.tsv,5
62133.tsv,8
10811.tsv,11
14476.tsv,11
76830.tsv,4
228014.tsv,4
59301.tsv,7
5996.tsv,15
3424.tsv,7
53891.tsv,11
2743.tsv,33
20648.tsv,11
99698.tsv,3
33337.tsv,7
12134.tsv,20
77758.tsv,8
87044.tsv,7
50194.tsv,6
8400.tsv,19
2.tsv,336
650.tsv,52
2434.tsv,4
63918.tsv,8
3253.tsv,29
23992.tsv,8
95197.tsv,4
56209.tsv,6
92402.tsv,8
11200.tsv,4
4218.tsv,10
5753.tsv,3
51812.tsv,12
5806.tsv,4
260710.tsv,4
7654.tsv,7
65150.tsv,4
6100.tsv,13
124472.tsv,4
15800.tsv,17
21156.tsv,15
129924.tsv,7
16131.tsv,17
36276.tsv,8
57637.tsv,6
121952.tsv,4
22009.tsv,11
15301.tsv,4
65420.tsv,6
1618.tsv,5
28844.tsv,14
4404.tsv,17
2044.tsv,12
9185.tsv,18
94167.tsv,8
12967.tsv,14
130147.tsv,6
48835.tsv,5
2504.tsv,7
52746.tsv,5
190545.tsv,4
4671.tsv,18
20751.tsv,13
1698.tsv,35
342.tsv,7
687.tsv,43
13952.tsv,10
63774.tsv,5
140290.tsv,6
45028.tsv,12
20115.tsv,7
228297.tsv,3
10550.tsv,21
27144.tsv,9
22605.tsv,6
36276.tsv,9
102844.tsv,5
637.tsv,50
108169.tsv,7
183749.tsv,3
19332.tsv,15
82456.tsv,6
114225.tsv,4
79074.tsv,6
60585.tsv,3
1329.tsv,25
90704.tsv,6
27836.tsv,7
69251.tsv,9
12093.tsv,10
40801.tsv,9
120428.tsv,3
170683.tsv,3
29941.tsv,14
59894.tsv,10
37561.tsv,6
171.tsv,14
